Name,House; Number of Lodgements,House; Total Floor Area (m2),Av floorspace of houses (m2),Flat or Maisonette; Number of Lodgements,Flat or Maisonette; Total Floor Area (m2),Av floorspace of flats (m2),All properties; Number of Lodgements,All properties; Total Floor Area (m2),Av floorspace of All properties (m2)
City of London , 11 ," 1,603 ", 146 ," 2,022 "," 117,733 ", 58 ," 2,033 "," 119,336 ", 59 
Barking and Dagenham ," 13,341 "," 1,111,000 ", 83 ," 8,854 "," 521,313 ", 59 ," 22,195 "," 1,632,312 ", 74 
Barnet ," 14,342 "," 1,798,880 ", 125 ," 18,936 "," 1,185,228 ", 63 ," 33,278 "," 2,984,108 ", 90 
Bexley ," 15,076 "," 1,363,346 ", 90 ," 10,375 "," 590,549 ", 57 ," 25,451 "," 1,953,895 ", 77 
Brent ," 8,957 "," 1,035,235 ", 116 ," 15,686 "," 957,048 ", 61 ," 24,643 "," 1,992,283 ", 81 
Bromley ," 19,007 "," 2,141,843 ", 113 ," 13,812 "," 847,721 ", 61 ," 32,819 "," 2,989,564 ", 91 
Camden ," 2,431 "," 436,736 ", 180 ," 19,660 "," 1,280,120 ", 65 ," 22,091 "," 1,716,856 ", 78 
Croydon ," 18,724 "," 1,936,224 ", 103 ," 17,401 "," 991,998 ", 57 ," 36,125 "," 2,928,222 ", 81 
Ealing ," 14,644 "," 1,542,434 ", 105 ," 18,573 "," 1,112,715 ", 60 ," 33,217 "," 2,655,149 ", 80 
Enfield ," 15,999 "," 1,604,903 ", 100 ," 13,907 "," 812,430 ", 58 ," 29,906 "," 2,417,333 ", 81 
Greenwich ," 12,253 "," 1,185,115 ", 97 ," 16,768 "," 1,061,040 ", 63 ," 29,021 "," 2,246,155 ", 77 
Hackney ," 4,663 "," 562,388 ", 121 ," 24,599 "," 1,532,288 ", 62 ," 29,262 "," 2,094,676 ", 72 
Hammersmith and Fulham ," 5,090 "," 654,119 ", 129 ," 16,342 "," 1,026,823 ", 63 ," 21,432 "," 1,680,942 ", 78 
Haringey ," 11,210 "," 1,218,624 ", 109 ," 20,060 "," 1,183,380 ", 59 ," 31,270 "," 2,402,004 ", 77 
Harrow ," 9,904 "," 1,090,631 ", 110 ," 7,932 "," 493,212 ", 62 ," 17,836 "," 1,583,843 ", 89 
Havering ," 15,772 "," 1,529,975 ", 97 ," 7,347 "," 430,583 ", 59 ," 23,119 "," 1,960,558 ", 85 
Hillingdon ," 15,891 "," 1,506,100 ", 95 ," 8,727 "," 509,854 ", 58 ," 24,618 "," 2,015,955 ", 82 
Hounslow ," 10,125 "," 1,002,442 ", 99 ," 9,832 "," 598,830 ", 61 ," 19,957 "," 1,601,273 ", 80 
Islington ," 3,168 "," 412,891 ", 130 ," 23,576 "," 1,465,355 ", 62 ," 26,744 "," 1,878,246 ", 70 
Kensington and Chelsea ," 3,011 "," 652,435 ", 217 ," 18,171 "," 1,402,980 ", 77 ," 21,182 "," 2,055,415 ", 97 
Kingston upon Thames ," 7,609 "," 857,231 ", 113 ," 8,550 "," 521,234 ", 61 ," 16,159 "," 1,378,465 ", 85 
Lambeth ," 8,074 "," 961,906 ", 119 ," 31,623 "," 1,980,227 ", 63 ," 39,697 "," 2,942,133 ", 74 
Lewisham ," 12,559 "," 1,272,199 ", 101 ," 22,364 "," 1,359,302 ", 61 ," 34,923 "," 2,631,501 ", 75 
Merton ," 9,030 "," 993,814 ", 110 ," 7,913 "," 469,318 ", 59 ," 16,943 "," 1,463,132 ", 86 
Newham ," 16,922 "," 1,590,924 ", 94 ," 12,942 "," 750,449 ", 58 ," 29,864 "," 2,341,373 ", 78 
Redbridge ," 13,274 "," 1,422,768 ", 107 ," 8,291 "," 483,144 ", 58 ," 21,565 "," 1,905,911 ", 88 
Richmond upon Thames ," 8,999 "," 1,120,540 ", 125 ," 8,851 "," 556,086 ", 63 ," 17,850 "," 1,676,626 ", 94 
Southwark ," 6,762 "," 753,080 ", 111 ," 28,043 "," 1,761,246 ", 63 ," 34,805 "," 2,514,326 ", 72 
Sutton ," 9,307 "," 934,929 ", 100 ," 9,883 "," 592,814 ", 60 ," 19,190 "," 1,527,742 ", 80 
Tower Hamlets ," 3,042 "," 306,637 ", 101 ," 27,362 "," 1,808,308 ", 66 ," 30,404 "," 2,114,945 ", 70 
Waltham Forest ," 13,365 "," 1,282,909 ", 96 ," 13,062 "," 743,969 ", 57 ," 26,427 "," 2,026,878 ", 77 
Wandsworth ," 9,058 "," 1,183,135 ", 131 ," 24,562 "," 1,596,409 ", 65 ," 33,620 "," 2,779,544 ", 83 
Westminster ," 2,268 "," 458,209 ", 202 ," 24,615 "," 1,883,723 ", 77 ," 26,883 "," 2,341,931 ", 87 